HS300_returns,MsgBSIs,g_MsgBSIs,rates,rates_country,exs,total_mv,float_mv,B/M,pe
0.08725315720244707,0.4612172540983539,-1.1268472787480601,4.155104761904761,0.3686952380952384,6.2194400000000005,28292141339470.45,20899831832415.1,0.5292405398253507,14.162000000000003
-0.029352673979134377,0.2400461563571607,-0.880814001634058,4.760352941176471,0.3122588235294117,6.251439999999999,27064488277686.266,20010945142815.6,0.551876379690949,13.534666666666665
0.0847937447326066,0.6126700436562723,-0.2631677237013084,4.704004545454546,0.35615454545454606,6.239640909090909,29092108816145.816,21683329121112.727,0.5165531814980042,14.361818181818183
0.18177231405996197,0.5400471468116872,-0.6259607955253292,3.1527000000000007,0.49334761904761937,6.2025523809523815,34584803327109.24,25972712120256.715,0.4461440407903124,16.476190476190474
0.06059522245323041,0.17940536781419175,-1.1992895448396488,2.3329649999999997,0.9991350000000003,6.203944999999999,35857093430401.55,27079157019693.3,0.45075501464953793,16.9155
0.04449202116637204,0.09968645016075472,-1.6316299696940963,2.6121952380952385,1.7946571428571418,6.205614285714285,38238701154001.234,28514110325946.617,0.4268292682926828,18.006190476190476
-0.21690132299921577,-0.10828548574739719,-1.4327709249521805,2.705634782608696,1.2484391304347828,6.208647826086958,33089717854521.13,24426674965770.61,0.48770144189991516,15.528260869565216
-0.07700812673466001,-0.10829988106968257,-1.4469998702782283,2.5745047619047616,1.187390476190477,6.33895238095238,29919547591078.953,22174119607196.0,0.5406797116374872,14.042380952380952
-0.12409185740940391,-0.021329869554239995,-1.923862156318581,2.5572952380952376,1.019042857142857,6.369925,26791709155534.0,19845673228708.5,0.6242197253433209,12.5725
0.06192329287837023,0.16927845637062247,-0.45913667628667737,2.4904111111111114,0.6724722222222219,6.3479705882352935,28092747465007.65,20934584334747.883,0.5960729312762973,13.184117647058823
0.06189899605090789,0.09997164164390435,-0.7505844356827076,2.4405190476190475,0.5740761904761902,6.371423809523812,29601662494213.668,22069578046216.19,0.5762897914379803,13.89190476190476
0.003297002134182602,0.14845196196423002,-0.910411801282559,2.532408695652174,0.5215782608695654,6.454313043478258,30004873632726.043,22129290544375.78,0.5735660847880301,14.005217391304347
-0.16003356766603707,-0.04038239715199871,-2.2066530809512224,2.55363,0.4583350000000008,6.57364,26190958015697.5,19229864857802.05,0.6666666666666667,12.190000000000001
-0.0583701568488303,0.23296408233181656,-1.0388221121863195,2.5209444444444444,0.5578833333333337,6.5408875,24596324384876.562,18166476574481.125,0.7133303611234953,11.439375
0.04042305029701145,0.299910096241451,-0.8290643311924997,2.4614521739130435,0.7608608695652168,6.507904347826089,25726149602218.652,19057448496081.26,0.6847275974992558,11.812608695652173
0.02785041385724499,0.19128180017578292,-1.363276774629194,2.5212999999999997,0.774515000000001,6.478959999999999,26318075867635.15,19534697237518.7,0.6856359273225916,12.062500000000002
-0.03474157357166604,0.1055593809603704,-1.918940982879032,2.4848333333333334,0.570847619047619,6.532171428571429,25411015607280.57,18881844833314.285,0.729673384294649,11.57809523809524
0.009594766696496554,0.16696689417946414,-0.8015715543603849,2.478761904761905,0.559680952380953,6.595205000000002,25877251908276.75,19078385705082.95,0.7125044531528323,11.768500000000001
0.031832116304549435,0.1412706300856118,-0.9541828928965165,2.4632761904761904,0.5056809523809522,6.677966666666667,26721333153970.76,19750455484070.094,0.6829268292682927,12.14
0.017914728655409183,0.22199048127314921,-1.1992419301796473,2.4754913043478264,0.6631956521739131,6.649404347826088,27244581884193.652,20143145299804.74,0.6693830034924331,12.378695652173917
-0.003379735043697287,0.1146560713133086,-1.7512393547157274,2.538509523809524,0.5658809523809523,6.67281,27137521671606.95,20128618710951.4,0.6807351940095303,12.328999999999999
0.013580668948795593,0.23649303929205065,-0.6002999301597609,2.6004111111111117,0.5256944444444445,6.74693125,27498245603938.875,20460451335516.688,0.6739679865206402,12.49375
0.03161912789333895,0.2727256481854293,-0.6770429480986491,2.6575681818181818,0.6284863636363629,6.8413,28357816595091.91,21138187921921.41,0.6811145510835914,12.884090909090908
-0.012870226904809386,0.06270528093505737,-1.3164103419377828,2.7962695652173912,0.44658913043478154,6.923536363636365,28206405661165.727,20923713591130.453,0.6742261722341405,12.905000000000001
-0.011231805771244207,0.18580322126802953,-1.0493315010909285,2.7366421052631584,0.5269052631578943,6.895538888888889,28222122380870.723,20986608533784.832,0.6711409395973156,12.953888888888889
0.023944161359958145,0.3004397645518935,-0.4901902458827213,2.9314315789473686,0.6096263157894741,6.873188888888889,28967525124698.668,21607506306849.445,0.65478355765733,13.272222222222222
0.007086321831897333,0.2278793158103582,-0.9668088226938086,3.17665652173913,0.4855608695652167,6.896591304347828,29069572997603.566,21712421704165.0,0.65137354856981,13.338260869565216
0.0065288947075681225,0.246000792270231,-1.4820970052328268,3.1792263157894745,0.35131052631579074,6.8915,29373077800990.832,21997717873261.777,0.6543075245365321,13.79
-0.01985913899788059,0.18625312325834203,-2.297118080533225,3.2393095238095233,0.17562380952380963,6.889410000000001,29048726928704.7,21707740439479.2,0.6844626967830254,13.349
0.04674359013003567,0.33054283017820535,-1.4943382531443687,3.3293272727272725,0.0459136363636361,6.807227272727272,30899147480836.0,22607241106194.227,0.6485849056603773,13.973181818181816
0.03261470457954938,0.28421563067471006,-1.2892355905066597,3.264695238095238,0.15933333333333488,6.772542857142857,32137361644872.953,23377677083671.285,0.6147540983606559,14.426666666666671
0.015241591481306807,0.19948270441543267,-1.0322028549427784,3.4202608695652184,0.2899260869565219,6.671343478260869,32831921924674.434,23921964739656.824,0.6005221932114883,14.737391304347828
