MktRet,SMB,HML,BSI,date
0.02619444146761316,-0.0011161458748919703,0.006541287504208872,-0.3101571795160408,2015-04-07
0.006054794053366773,-0.01690874212790071,0.009019442192862383,-0.1494264558912085,2015-04-08
-0.009386389668041312,-0.003740501567174488,-0.0042907884838857095,-0.06181514821710807,2015-04-09
0.02254926435863027,0.008341394006279583,-0.0013090774303160697,-0.285247810030889,2015-04-10
0.023030656198832232,0.005531107489414423,0.005849463838040931,-0.26767729002037366,2015-04-13
0.0038908735756199024,0.0012129447028791126,3.0362344734419754e-05,-0.28654782201235474,2015-04-14
-0.01732109102432307,-0.017254842985269525,0.014474691210462794,-0.0011079413840333757,2015-04-15
0.026361635654476877,-0.014893057335602575,0.006806940636198024,0.02368276708519451,2015-04-16
0.020404339014338947,-0.01239617322841152,0.013388753010254257,-0.3236313482978804,2015-04-17
-0.01582775749381671,-0.008455322658573742,0.006037105953474873,-0.5671952475157364,2015-04-20
0.024900429496578346,0.011237689422317725,-0.011509864511036302,-0.2611722500575602,2015-04-21
0.02745079158824529,0.004250874756835818,-0.0016898517667801212,-0.04610453220441686,2015-04-22
0.006438478088099445,0.007264497654479576,-0.004698629840318378,-0.5957581130048147,2015-04-23
-0.0026441111559776104,0.0050318677532205,-0.010864104877706546,-0.4317395696117369,2015-04-24
0.027206194878227136,-0.012323888000287875,0.021874363525554698,-0.566511370688255,2015-04-27
-0.015529099259151306,-0.01515484622222995,0.01617430502873908,-0.5840667850344823,2015-04-28
0.005348653525178703,0.016243559757467038,-0.017642356221117643,-0.10838730672530077,2015-04-29
-0.004262176232323652,0.009027669275256549,-0.00949785281217222,-0.7514864970168512,2015-04-30
0.010994312084717583,0.004587633011805536,0.011198652539259387,-0.39314867663521214,2015-05-04
-0.03878293191777718,0.0037029730002342137,-0.013557142855770182,-0.9300424853723464,2015-05-05
-0.014923125013018183,-0.006590635921452769,-0.013555289888555585,-0.913758313738379,2015-05-06
-0.024096874464431848,-0.004089120448322301,-0.014782459699249247,-0.5624625359196277,2015-05-07
0.029103714120008374,0.017476346559475393,-0.014256945946671595,-1.0705511499548448,2015-05-08
0.036187154773385945,0.011999083894740532,-0.014008469931661882,-0.6630815667798767,2015-05-11
0.017545312757334914,0.005271972670871556,-0.017890019979955353,-0.7204705532758419,2015-05-12
-0.00025124222445163484,0.016162033274635015,-0.013890018761795252,-0.9169022860574558,2015-05-13
0.0018763148090695445,0.018301288603613068,0.00020815346897615217,-0.8961928838642378,2015-05-14
-0.01384445501035289,0.007571992732371334,-0.013155614927034188,-0.8047842274883252,2015-05-15
0.0007074283130258912,0.02392053277388189,-0.021953893541402703,-1.2772695834273278,2015-05-18
0.03358039983433299,-0.0019827047617907434,0.007007151282840046,-0.18218302960875535,2015-05-19
0.011226725451280993,0.010055709482929854,-0.011228782141387502,-0.6198331278442438,2015-05-20
0.02645692245366435,0.013963822818886772,-0.011415127074836648,-0.49487691805795464,2015-05-21
0.02554540284566722,0.0006092044641212574,0.013580196439792861,-0.2567100522925118,2015-05-22
0.033757884151748664,0.0032970767599521528,0.009159159191565281,-0.25230461763261314,2015-05-25
0.025896770761715315,0.01452265462794649,-0.016313323485034947,-0.32518729561187887,2015-05-26
0.007366772832445613,0.016905738850828515,-0.005894908757224971,-0.5698769727274021,2015-05-27
-0.06810900033358161,0.012008558195150482,0.006960529845488353,-1.0352734635487393,2015-05-28
0.0032039501878914772,0.012690760133204613,-0.007664413815055701,-0.7537012705225776,2015-05-29
0.05468089207757646,0.006702210539566267,0.0005617734214064876,-0.3358820407302184,2015-06-01
0.02655167827551306,0.02558706047104567,-0.012072466409966301,-0.496292952337003,2015-06-02
0.0025696565754786804,0.011005999033098969,0.005694804649532236,-0.723695270051488,2015-06-03
0.007416175120875385,-0.0038769043886178294,0.012014290052585586,-0.5225684731360217,2015-06-04
0.017872961140112102,0.008924701801619025,0.0074623349939415395,-0.759634289705848,2015-06-05
