MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9706	2018-09-07	.003969	.002969	.000404	.000527	-.000640	.000537
P9707	2018-09-07	.000969	.000969	.000383	.000186	-.006225	-.006088
P9709	2018-09-07	.003969	.002969	-.001012	-.001322	-.000112	.001153
P9710	2018-09-07	.003969	.002969	-.000889	-.001166	-.000397	.000892
P9705	2018-09-06	-.003031	-.001031	.006424	.008278	.003776	.001411
P9706	2018-09-06	-.007031	-.006031	.003680	.003864	.004649	.004477
P9707	2018-09-06	-.005031	-.005031	.001695	.001113	-.001835	-.001787
P9709	2018-09-06	-.007031	-.006031	.004920	.005391	.003616	.002947
P9710	2018-09-06	-.007031	-.006031	.004842	.005337	.003609	.002942
P9705	2018-09-05	-.016031	-.017031	.002073	.001423	-.000891	.001021
P9706	2018-09-05	-.018031	-.018031	.006152	.004852	-.002560	-.002795
P9707	2018-09-05	-.009031	-.009031	.000195	-.000376	.006725	.005756
P9709	2018-09-05	-.018031	-.018031	.005919	.004601	-.002011	-.002054
P9710	2018-09-05	-.018031	-.017031	.005790	.004438	-.001909	-.001967
P9705	2018-09-04	.012969	.011969	.004987	.004948	.002619	.001515
P9706	2018-09-04	.010969	.010969	.000372	.000758	-.003604	-.002980
P9707	2018-09-04	.006969	.006969	.002052	.002590	-.002819	-.001829
P9709	2018-09-04	.010969	.010969	.001773	.002187	-.003101	-.002808
P9710	2018-09-04	.010969	.010969	.001819	.002190	-.003085	-.002814
P9705	2018-09-03	.003969	.001969	-.004710	-.004862	-.004564	-.004741
P9706	2018-09-03	-.002031	-.002031	-.000340	-.000827	-.001144	-.001510
P9707	2018-09-03	-.001031	-.002031	-.003662	-.003680	.000512	.003683
P9709	2018-09-03	-.002031	-.002031	-.000001	-.000148	-.001759	-.002435
P9710	2018-09-03	-.002031	-.002031	-.000056	-.000164	-.001611	-.002266
P9705	2018-08-31	-.015031	-.017031	-.000681	-.003425	.001022	.003171
P9706	2018-08-31	-.004031	-.005031	-.005032	-.004856	.009436	.008290
P9707	2018-08-31	-.004031	-.004031	-.002436	-.004909	.004485	.006594
P9709	2018-08-31	-.005031	-.006031	-.005612	-.005646	.008807	.007998
P9710	2018-08-31	-.005031	-.006031	-.005651	-.005741	.008806	.008048
P9705	2018-08-30	-.018031	-.019031	-.003618	-.003405	-.002914	-.003511
P9706	2018-08-30	-.012031	-.012031	-.003889	-.004311	.000589	.000783
P9707	2018-08-30	-.007031	-.007031	.002771	.002375	-.007164	-.006882
P9709	2018-08-30	-.012031	-.013031	-.005305	-.005738	.001110	.001486
P9710	2018-08-30	-.012031	-.013031	-.005153	-.005658	.000922	.001281
P9705	2018-08-29	-.007031	-.007031	.000712	.000598	-.000147	-.000836
P9706	2018-08-29	-.004031	-.004031	-.000821	-.001280	.001420	.001079
P9707	2018-08-29	-.004031	-.004031	-.002525	-.002481	-.002727	-.003418
P9709	2018-08-29	-.004031	-.004031	-.000777	-.001048	.001326	.000989
P9710	2018-08-29	-.004031	-.004031	-.000857	-.001088	.001275	.000955
P9705	2018-08-28	.000969	.001969	-.001400	-.001277	.002236	.002163
P9706	2018-08-28	-.001031	-.000031	.002668	.001813	.000562	-.000017
P9707	2018-08-28	-.004031	-.003031	.006829	.005473	-.013551	-.012315
P9709	2018-08-28	-.001031	-.000031	.002479	.001570	.000633	.000253
P9710	2018-08-28	-.001031	-.000031	.002449	.001469	.000396	.000068
P9705	2018-08-27	.027969	.027969	-.003323	-.003441	-.003581	-.003468
P9706	2018-08-27	.020969	.020969	-.004842	-.003459	-.008017	-.007151
P9707	2018-08-27	.016969	.015969	-.006352	-.006722	-.007332	-.006379
P9709	2018-08-27	.020969	.020969	-.003339	-.001911	-.008568	-.008140
P9710	2018-08-27	.020969	.020969	-.003307	-.001815	-.008591	-.008131
P9705	2018-08-24	-.004031	-.004031	.000198	.000175	.000629	.001070
P9706	2018-08-24	.002969	.001969	-.004660	-.004494	.006459	.005959
P9707	2018-08-24	-.002031	-.002031	.005106	.005407	-.004774	-.004421
P9709	2018-08-24	.001969	.000969	-.004711	-.004460	.006710	.006145
P9710	2018-08-24	.001969	.000969	-.004572	-.004354	.006446	.005888
P9705	2018-08-23	.010969	.012969	.003639	.004060	-.002478	-.002994
P9706	2018-08-23	.002969	.003969	.002149	.003157	-.001613	-.001807
P9707	2018-08-23	.007969	.006969	-.000229	-.000585	-.005665	-.005905
P9709	2018-08-23	.003969	.004969	.003361	.004382	-.002162	-.002851
P9710	2018-08-23	.003969	.004969	.003277	.004282	-.002210	-.002857
P9705	2018-08-22	-.014031	-.015031	-.001388	-.002647	-.004248	-.003810
P9706	2018-08-22	-.007031	-.008031	-.004052	-.004613	.001301	.001045
P9707	2018-08-22	-.004031	-.004031	-.003376	-.002399	-.002171	-.001203
P9709	2018-08-22	-.007031	-.008031	-.004930	-.005502	.001287	.001204
P9710	2018-08-22	-.007031	-.008031	-.005074	-.005713	.001146	.001050
P9705	2018-08-21	.013969	.014969	.000720	.000694	-.007073	-.009112
P9706	2018-08-21	.013969	.013969	-.004849	-.004519	-.009898	-.009309
P9707	2018-08-21	.009969	.009969	-.004543	-.004145	-.007074	-.006887
P9709	2018-08-21	.013969	.013969	-.004560	-.004039	-.009803	-.009459
P9710	2018-08-21	.013969	.013969	-.004824	-.004374	-.009739	-.009383
P9705	2018-08-20	.004969	.006969	.008955	.009783	.004841	.002715
P9706	2018-08-20	.010969	.010969	-.007650	-.006213	.006592	.006089
P9707	2018-08-20	.000969	.000969	-.002095	-.001784	.005934	.007122
P9709	2018-08-20	.010969	.009969	-.005588	-.003797	.006209	.005363
P9710	2018-08-20	.010969	.009969	-.005497	-.003777	.006312	.005458
P9705	2018-08-17	-.021031	-.021031	-.001988	-.002541	-.000363	-.000678
P9706	2018-08-17	-.013031	-.014031	-.004633	-.004511	.006886	.005837
P9707	2018-08-17	-.008031	-.008031	.000809	.000593	.007383	.005906
P9709	2018-08-17	-.014031	-.015031	-.005064	-.004968	.006845	.005945
P9710	2018-08-17	-.013031	-.014031	-.005013	-.004963	.006911	.005989
P9705	2018-08-16	-.010031	-.010031	-.000162	.000455	-.001913	-.002817
P9706	2018-08-16	-.006031	-.007031	-.003512	-.003056	.002519	.002297
P9707	2018-08-16	-.004031	-.004031	.001385	.001863	.002677	.003376
P9709	2018-08-16	-.007031	-.007031	-.003853	-.003509	.002573	.002277
P9710	2018-08-16	-.007031	-.007031	-.003831	-.003482	.002656	.002374
P9705	2018-08-15	-.024031	-.024031	.003925	.004716	.001317	-.000416
P9706	2018-08-15	-.021031	-.021031	.006536	.005093	.003643	.002286
