date,rft_store1,rft_country1,rft_bank7,rft_country10
2015-01-05,7.400000000000001e-05,8.780906937033706e-05,0.00012649479662774077,9.797454976712139e-05
2015-01-06,7.400000000000001e-05,8.800542475140283e-05,0.00011565969119375907,9.810673389853974e-05
2015-01-07,7.400000000000001e-05,8.653507200317989e-05,0.00010601825857547986,9.823626817784259e-05
2015-01-08,7.400000000000001e-05,8.619258447151168e-05,0.00010621858861581401,9.810937751630888e-05
2015-01-09,7.400000000000001e-05,8.615275756906904e-05,0.00011152991162921566,9.837108308485831e-05
2015-01-12,7.400000000000001e-05,8.617665377985695e-05,0.00010878205059161594,9.850589137716526e-05
2015-01-13,7.400000000000001e-05,8.659082174689026e-05,0.00010647688737219774,9.772338239555367e-05
2015-01-14,7.400000000000001e-05,8.646073725171455e-05,0.00010670617306551833,9.61603410198908e-05
2015-01-15,7.400000000000001e-05,8.656692913810993e-05,0.00010758624159934449,9.55068266601522e-05
2015-01-16,7.400000000000001e-05,8.639702014967554e-05,0.00010742816622566487,9.407490168622523e-05
2015-01-19,7.400000000000001e-05,8.616072299560962e-05,0.00010711462315882159,9.40828441784447e-05
2015-01-20,7.400000000000001e-05,8.608106768970279e-05,0.00010145151883467207,9.40828441784447e-05
2015-01-21,7.400000000000001e-05,8.587660849967982e-05,0.00012085842861075946,9.419403665966719e-05
2015-01-22,7.400000000000001e-05,8.557918615070825e-05,0.00011168512061421332,9.380219552390656e-05
2015-01-23,7.400000000000001e-05,8.56535447564255e-05,0.00011148255798976159,9.400077065113699e-05
2015-01-26,7.400000000000001e-05,8.539328083134734e-05,0.0001075493581588205,9.381013880438438e-05
2015-01-27,7.400000000000001e-05,8.420850287937931e-05,0.00010592072419002285,9.328053648727241e-05
2015-01-28,7.400000000000001e-05,8.384712362552449e-05,0.00011296854700826309,9.419403665966719e-05
2015-01-29,7.400000000000001e-05,8.415536185246708e-05,0.00011704890859287609,9.452758710581932e-05
2015-01-30,7.400000000000001e-05,8.510377464521214e-05,0.00011406739887309669,9.524484811129774e-05
2015-02-02,7.400000000000001e-05,8.349898542459044e-05,0.00012363353235644858,9.339440960043355e-05
2015-02-03,7.400000000000001e-05,8.349898542459044e-05,0.00011752932504771607,9.306337002623621e-05
2015-02-04,7.400000000000001e-05,8.338470143609554e-05,0.00012299699992013302,9.306337002623621e-05
2015-02-05,7.400000000000001e-05,8.295410045811026e-05,0.00012396090930755221,9.157452311003844e-05
2015-02-06,7.400000000000001e-05,8.312953863276462e-05,0.00012203537295230049,9.237467992218029e-05
2015-02-09,7.400000000000001e-05,8.328636024557133e-05,0.00012319085668988095,9.200377527451842e-05
2015-02-10,7.400000000000001e-05,8.310295781122079e-05,0.0001260735166013216,9.220248041996726e-05
