Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pmonret_tmv,Pmonret_mc
0,A,2,4,2015-05-29,96,0.2319,0.3275
0,A,5,5,2015-05-29,122,-0.0628,-0.0489
0,A,1,5,2015-05-29,55,0.2995,0.2736
0,A,4,5,2015-05-29,89,0.0710,0.1448
0,A,3,5,2015-05-29,90,0.1462,0.1237
0,A,2,5,2015-05-29,91,0.2770,0.1832
0,A,5,4,2015-05-29,58,0.0484,0.0864
0,A,4,4,2015-05-29,83,0.1722,0.1904
0,A,3,4,2015-05-29,93,0.2682,0.1871
0,A,1,4,2015-05-29,107,0.3956,0.3873
0,A,5,3,2015-05-29,67,0.0995,0.0926
0,A,4,3,2015-05-29,70,0.2000,0.2411
0,A,2,3,2015-05-29,96,0.2886,0.3726
0,A,1,3,2015-05-29,104,0.4071,0.3457
0,A,5,2,2015-05-29,65,0.1550,0.1763
0,A,4,2,2015-05-29,92,0.3209,0.3393
0,A,3,2,2015-05-29,96,0.3246,0.3106
0,A,2,2,2015-05-29,100,0.3648,0.3353
0,A,1,2,2015-05-29,79,0.2942,0.4530
0,A,5,1,2015-05-29,140,0.2024,0.1893
0,A,4,1,2015-05-29,103,0.3184,0.3102
0,A,3,1,2015-05-29,66,0.3182,0.3537
0,A,2,1,2015-05-29,44,0.3260,0.2560
0,A,1,1,2015-05-29,71,0.3235,0.3309
0,A,5,5,2015-06-30,121,-0.0237,-0.0357
0,A,3,5,2015-06-30,89,-0.0884,-0.0359
0,A,2,5,2015-06-30,90,-0.1136,-0.0598
0,A,1,5,2015-06-30,58,-0.0927,-0.0753
0,A,4,4,2015-06-30,84,-0.0821,-0.0983
0,A,3,4,2015-06-30,92,-0.0897,-0.1104
0,A,2,4,2015-06-30,90,-0.0814,-0.0932
0,A,5,3,2015-06-30,68,-0.0909,-0.0929
0,A,4,3,2015-06-30,72,-0.1116,-0.0842
0,A,3,3,2015-06-30,91,-0.1126,-0.0938
0,A,1,3,2015-06-30,102,-0.1473,-0.1148
0,A,5,2,2015-06-30,65,-0.0871,-0.1244
0,A,4,2,2015-06-30,87,-0.1379,-0.1498
0,A,2,2,2015-06-30,99,-0.1674,-0.1630
0,A,1,2,2015-06-30,77,-0.1572,-0.1818
0,A,5,1,2015-06-30,136,-0.1645,-0.1726
0,A,4,1,2015-06-30,102,-0.1575,-0.1824
0,A,3,1,2015-06-30,65,-0.1313,-0.1329
0,A,2,1,2015-06-30,40,-0.1616,-0.1065
0,A,1,1,2015-06-30,67,-0.1447,-0.1232
0,A,3,2,2015-06-30,99,-0.1295,-0.1291
0,A,1,4,2015-06-30,101,-0.1304,-0.1513
0,A,5,4,2015-06-30,57,-0.1379,-0.0478
0,A,2,3,2015-06-30,97,-0.1205,-0.1579
0,A,4,5,2015-06-30,88,-0.0145,-0.0458
0,A,5,3,2015-07-31,69,-0.1646,-0.1482
0,A,3,5,2015-07-31,83,-0.1616,-0.2101
0,A,4,4,2015-07-31,79,-0.1957,-0.1603
0,A,1,3,2015-07-31,80,-0.2140,-0.2068
0,A,5,5,2015-07-31,119,-0.1344,-0.1430
0,A,4,5,2015-07-31,81,-0.2005,-0.2064
0,A,2,5,2015-07-31,82,-0.2055,-0.2408
0,A,1,5,2015-07-31,63,-0.1857,-0.1907
0,A,5,4,2015-07-31,64,-0.1517,-0.1430
0,A,3,4,2015-07-31,102,-0.2096,-0.2174
0,A,2,4,2015-07-31,90,-0.2157,-0.2136
0,A,1,4,2015-07-31,84,-0.1968,-0.2007
0,A,4,3,2015-07-31,80,-0.1562,-0.1478
0,A,3,3,2015-07-31,93,-0.2268,-0.2030
0,A,2,3,2015-07-31,81,-0.2185,-0.2295
0,A,5,2,2015-07-31,68,-0.1365,-0.1536
0,A,4,2,2015-07-31,93,-0.1788,-0.1711
0,A,3,2,2015-07-31,73,-0.2152,-0.1965
0,A,2,2,2015-07-31,95,-0.2217,-0.2107
0,A,1,2,2015-07-31,94,-0.1930,-0.2079
0,A,5,1,2015-07-31,93,-0.1175,-0.1362
0,A,4,1,2015-07-31,89,-0.1855,-0.1542
0,A,3,1,2015-07-31,69,-0.1742,-0.1800
0,A,2,1,2015-07-31,71,-0.2117,-0.2089
0,A,1,1,2015-07-31,84,-0.1697,-0.1879
0,A,5,5,2015-08-31,119,-0.1397,-0.1316
0,A,4,5,2015-08-31,79,-0.1613,-0.1610
0,A,3,5,2015-08-31,86,-0.1610,-0.1367
0,A,1,5,2015-08-31,59,-0.1106,-0.1044
0,A,5,4,2015-08-31,63,-0.1069,-0.1177
0,A,4,4,2015-08-31,80,-0.1701,-0.1864
0,A,2,4,2015-08-31,90,-0.1733,-0.1719
0,A,1,4,2015-08-31,78,-0.1309,-0.1021
0,A,5,3,2015-08-31,71,-0.1214,-0.1373
0,A,3,3,2015-08-31,93,-0.1542,-0.1438
0,A,2,3,2015-08-31,80,-0.1148,-0.1278
0,A,1,3,2015-08-31,78,-0.0981,-0.0981
0,A,4,2,2015-08-31,92,-0.1799,-0.1880
0,A,3,2,2015-08-31,69,-0.1515,-0.1584
0,A,2,2,2015-08-31,88,-0.1613,-0.1593
0,A,5,1,2015-08-31,88,-0.1943,-0.1979
0,A,4,1,2015-08-31,84,-0.1940,-0.2037
0,A,3,1,2015-08-31,64,-0.1587,-0.1850
0,A,2,1,2015-08-31,63,-0.1609,-0.1412
0,A,1,1,2015-08-31,88,-0.0534,-0.0870
0,A,5,2,2015-08-31,68,-0.1493,-0.1361
0,A,4,3,2015-08-31,80,-0.1757,-0.1911
0,A,3,4,2015-08-31,99,-0.1440,-0.1419
0,A,2,5,2015-08-31,82,-0.1332,-0.1327
0,A,1,2,2015-08-31,92,-0.1089,-0.1220
0,A,4,2,2015-09-30,91,-0.0674,-0.0520
0,A,2,4,2015-09-30,88,-0.0333,-0.0415
0,A,1,5,2015-09-30,61,-0.0567,-0.0541
0,A,5,5,2015-09-30,118,-0.0710,-0.0783
0,A,3,3,2015-09-30,98,-0.0458,-0.0535
0,A,4,5,2015-09-30,79,-0.0971,-0.0878
0,A,3,5,2015-09-30,83,-0.0563,-0.0764
0,A,2,5,2015-09-30,81,-0.1133,-0.0728
0,A,5,4,2015-09-30,62,-0.0892,-0.0871
0,A,4,4,2015-09-30,79,-0.0650,-0.0776
0,A,3,4,2015-09-30,99,-0.0680,-0.0619
0,A,1,4,2015-09-30,82,-0.0205,-0.0312
0,A,5,3,2015-09-30,74,-0.0966,-0.1189
0,A,4,3,2015-09-30,79,-0.0786,-0.0790
0,A,2,3,2015-09-30,81,-0.0068,-0.0338
0,A,1,3,2015-09-30,75,-0.0641,-0.0205
