date,ret_S1BM1,ret_S1BM2,ret_S1BM3,ret_S1BM4,ret_S1BM5,ret_S2BM1,ret_S2BM2,ret_S2BM3,ret_S2BM4,ret_S2BM5,ret_S3BM1,ret_S3BM2,ret_S3BM3,ret_S3BM4,ret_S3BM5,ret_S4BM1,ret_S4BM2,ret_S4BM3,ret_S4BM4,ret_S4BM5,ret_S5BM1,ret_S5BM2,ret_S5BM3,ret_S5BM4,ret_S5BM5
2015-01-30,0.11640559048979107,0.07572445664642838,0.07580888876791647,0.0822254964766478,0.04116250595609591,0.12219211295194556,0.10959285510521714,0.07720552547605626,0.06401279069627458,0.02195134593073936,0.14038977463136304,0.12377582968841207,0.0701716954688859,0.05654658260613503,0.009764938373212295,0.13362497627064276,0.10461741123959276,0.08494183780146689,0.05426945782520708,-0.023681301921155848,0.14016576476825302,0.09922903602778131,0.03615059918748426,-0.00909210938550431,-0.039747669421981845
2015-02-27,0.1030539337576502,0.10888267245062101,0.0597301229510427,0.05205907684948374,0.03349181734938041,0.07845632564401685,0.08265474360631868,0.06622715202278287,0.054891369871569985,0.048255295029594615,0.1338715058069905,0.10880691559649597,0.08910713201659215,0.0638097923456846,0.03461460084526812,0.08457048515671516,0.09806642177883809,0.07327187577276671,0.07040842473005984,0.03327538669128295,0.12032672166849234,0.08073128945326401,0.06662633577123139,0.046038151690996544,0.0024313014536737976
2015-03-31,0.2494419270419969,0.23896169028556502,0.22321527688293602,0.21205252359219057,0.19058415893878664,0.25631711169193955,0.24297126111362716,0.24791066960697927,0.2247942659576034,0.19239206412428805,0.30805529545213334,0.24838718183798766,0.2169786367875014,0.21698693236517982,0.19547450594669613,0.34507642663038374,0.2602757830486109,0.21724358645927888,0.21052258716420677,0.20230366688225457,0.2550020877136775,0.16226161511310383,0.1150042349019997,0.18465692831153085,0.09974102618742109
2015-04-30,0.24986802533719008,0.1766278752546965,0.15313477276329884,0.14691808915701843,0.12840206415802088,0.19067932324121348,0.2143901627776997,0.19283634490313287,0.14938334520018987,0.13380066270150548,0.33677487662912486,0.18765088281115286,0.18303766247265316,0.1445669815762994,0.13910390872600925,0.21983500077244253,0.19093542488226015,0.17185687647770315,0.20957050256048476,0.1648486281666246,0.3005250412170241,0.31464897871130454,0.3183292464910927,0.16166243439479713,0.16610729696070795
2015-05-29,0.7060909900408859,0.335235321163458,0.2908954121674021,0.19098769389316245,0.15008017251881173,0.44369017330878335,0.3423622741977134,0.28934403808408965,0.16595495025498525,0.1536111910897887,0.453889016911189,0.30085985095609413,0.293410436770346,0.1837722116600024,0.09031759463161931,0.4711283001925082,0.45404579925343924,0.17942981620322995,0.1558838939656582,0.07934850292548312,0.48235967670814506,0.2076872894840831,0.1185614145579096,0.05074504794783073,-0.06301177790418055
2015-06-30,-0.053677350832655256,-0.12122656666414781,-0.15768897177461572,-0.1478386113435627,-0.12050994228064843,-0.11082058926084813,-0.086401833750469,-0.13078256858271164,-0.12314770037140539,-0.12026123306709856,-0.12488429187016377,-0.08548532113612618,-0.08072286148337611,-0.08073833252563428,-0.08042637350632029,-0.10312132516359737,-0.06763175526161673,-0.14072380860873532,-0.0879760539188992,-0.0698669587672128,-0.09819696390153587,-0.07707804078511278,-0.06802734609164425,-0.08512779618224282,-0.0025990289290446916
2015-07-31,0.06061720505677454,-0.11511314769269967,-0.20031977648859897,-0.24572673669143225,-0.26182831729875067,-0.16280215442658996,-0.17475362703629752,-0.22665953416537174,-0.2460661405823095,-0.2680671664217714,-0.1240946800691477,-0.1802732672665482,-0.1965277747549929,-0.22658649490218058,-0.24217718951583989,-0.16170469459422812,-0.12525736685892752,-0.15218655183818655,-0.17935988044808032,-0.21997787610636824,-0.036829993846568626,-0.09811160161932807,-0.1269463495080801,-0.14483619404031486,-0.11135256450186251
2015-08-31,-0.12713129376780427,-0.1823954471853806,-0.16732224385457328,-0.19334774346568978,-0.14032672869308438,-0.11950264494054526,-0.13795192799632225,-0.14991531350195217,-0.14703855863716978,-0.1444713465942083,-0.13132452408583123,-0.14476368026028036,-0.1428918415041549,-0.14079232208184572,-0.15284308009377728,-0.12755142394969665,-0.1324980502816577,-0.15873037241440824,-0.16632478019158786,-0.17631305544097242,0.044937957704749114,-0.1072888286084812,-0.10173295448581839,-0.12491902980728532,-0.12804577136375284
2015-09-30,-0.03557961188127274,-0.06511901557019888,-0.06753524778299311,-0.074885564497146,-0.07552363933023726,-0.014853459946364807,-0.05603131491231519,-0.04980208241449676,-0.051753787802364365,-0.07270342187304743,-0.0004868167185380879,-0.047319505455629976,-0.061489289313420945,-0.08629208549628767,-0.08651671242481751,-0.011882937149871393,-0.07489429705702237,-0.06691524485267272,-0.07101404936298737,-0.08212107819695268,0.016449541395572677,-0.07487979340620655,-0.06750653757436413,-0.06461776008365577,-0.03557850180735219
2015-10-30,0.2690820357696256,0.20780608737621653,0.22718506435009753,0.20404329625798093,0.1992913781249877,0.31501215334354177,0.24754948028554505,0.24616214538915512,0.21997069972976652,0.17154015668032024,0.31532466636591566,0.25594911105086315,0.25117575295558014,0.25475917248228735,0.17426845641316666,0.2702942712517987,0.22183599227947537,0.21608193031816625,0.17455483640317215,0.15039952584449273,0.23019943957535172,0.21581085846103806,0.16871039644056304,0.11605743498061347,0.07742405817012177
