date,cpi,iv,m1,gdp,m2,HS300_close,HS300_open,HS300_volume
2015-01-05,99.93778046334273,100.06924180978878,349567.9084305088,145680.35090530655,1230589.1618277417,3641.54,3566.09,451198098.0
2015-01-06,99.93044147755425,100.08331871352797,349800.81789128185,145682.4156996713,1231036.5416374684,3641.06,3608.43,420962185.0
2015-01-07,99.9248041322801,100.097471797861,350010.5972769453,145684.51533847055,1231485.424595255,3643.79,3620.92,320191232.0
2015-01-08,99.9208684275203,100.11170106278786,350197.2465874993,145686.64982170434,1231935.810701101,3559.26,3650.07,295003045.0
2015-01-09,99.91863436327483,100.12600650830854,350360.7658229436,145688.81914937258,1232387.6999550068,3546.72,3547.57,349982672.0
2015-01-12,99.92214201362441,100.16937992843347,350712.54307861935,145695.53619898428,1233752.3866050811,3513.58,3531.51,266567175.0
2015-01-13,99.92671451143624,100.18399009632945,350783.5420136255,145697.84490439045,1234210.2884512248,3514.04,3506.45,187153965.0
2015-01-14,99.93298864976241,100.19867644481923,350831.410873522,145700.18845423116,1234669.6934454283,3502.42,3522.91,196012510.0
2015-01-15,99.94096442860292,100.21343897390283,350856.149658309,145702.56684850637,1235130.6015876916,3604.12,3501.72,237812338.0
2015-01-16,99.95064184795775,100.22827768358023,350857.75836798636,145704.98008721604,1235593.012878014,3635.15,3616.25,282681614.0
2015-01-19,99.98988394910825,100.2732508961754,350723.80404636124,145712.428869952,1236989.2656373389,3355.16,3414.01,329505275.0
2015-01-20,100.00636793052043,100.28839432822812,350632.8924556005,145714.98148639966,1237457.6895199001,3396.22,3336.79,297843232.0
2015-01-21,100.02455355244692,100.30361394087464,350518.85078973003,145717.56894728178,1237927.6165505205,3548.89,3420.49,337928210.0
2015-01-22,100.04444081488772,100.31890973411498,350381.6790487501,145720.1912525984,1238399.0467292003,3567.61,3551.05,268853599.0
2015-01-23,100.0660297178429,100.33428170794916,350221.37723266066,145722.8484023495,1238871.9800559399,3571.73,3582.09,280172172.0
2015-01-26,100.14100626979432,100.38085471301456,349601.69133373466,145731.02891820978,1240299.7989245157,3607.99,3580.12,239766203.0
2015-01-27,100.16940173480677,100.396531409224,349348.8692172067,145733.82544569884,1240778.7448434932,3574.93,3614.04,287669179.0
2015-01-28,100.19949884033358,100.41228428602726,349072.9170255694,145736.65681762237,1241259.1939105308,3525.32,3547.24,216220214.0
2015-01-29,100.23129758637472,100.42811334342436,348773.8347588226,145739.52303398045,1241741.1461256277,3481.8,3474.92,211618860.0
2015-01-30,100.2647979729302,100.44401858141526,348451.6224169661,145742.424094773,1242224.6014887844,3434.39,3496.89,196479157.0
2015-02-02,100.37550897568256,100.49219137895092,347346.2049407393,145751.33634375755,1243683.9864666108,3353.96,3360.19,195183699.0
2015-02-03,100.41581592429533,100.50840133931709,346931.4722984445,145754.37678228802,1244173.4544220055,3437.45,3388.6,192846096.0
2015-02-04,100.45782451342248,100.52468748027712,346493.6095810402,145757.45206525302,1244664.42552546,3401.77,3446.14,191304349.0
2015-02-05,100.50153474306391,100.54104980183095,346032.6167885264,145760.5621926525,1245156.8997769738,3366.95,3487.95,250430609.0
2015-02-06,100.54694661321969,100.5574883039786,345548.49392090295,145763.70716448646,1245650.877176547,3312.42,3352.33,192664186.0
2015-02-09,100.69339206677301,100.60726089398449,343957.34486737533,145773.35114659532,1247141.8282636248,3345.92,3305.73,172353820.0
2015-02-10,100.7456104989861,100.6240041185074,343380.7016993136,145776.63549616723,1247641.8182554361,3406.94,3345.08,159309088.0
2015-02-11,100.79953057171355,100.64082352362416,342780.9284561424,145779.95469017368,1248143.3113953075,3434.12,3415.98,144613772.0
2015-02-12,100.85515228495528,100.65771910933474,342158.0251378615,145783.30872861456,1248646.307683238,3442.87,3435.36,156081691.0
2015-02-13,100.91247563871138,100.67469087563913,341511.99174447113,145786.69761148997,1249150.8071192284,3469.83,3458.83,201089971.0
2015-02-16,101.08500405721314,100.72511568584048,339545.1792395515,145796.63369025863,1250683.2386742053,3499.48,3473.29,165641343.0
2015-02-17,101.13706961571093,100.7412077091767,338944.2107031089,145799.6124052914,1251206.143650744,3522.32,3511.54,165328313.0
2015-02-25,101.44112639686416,100.85563009629821,335285.0059739825,145816.78306883434,1255621.955248871,3478.73,3529.55,165539351.0
2015-02-26,101.46507503365468,100.86814366974238,334971.1733281435,145818.0970196873,1256203.0031718635,3566.29,3473.71,229328438.0
2015-02-27,101.48589956803329,100.88025963764296,334689.2446701493,145819.22599674255,1256790.51142224,3572.84,3565.23,222786438.0
