MarkettypeID,TradingDate,RiskPremium1,RiskPremium2,SMB1,SMB2,HML1,HML2
P9709,2015-03-26,0.000942,-0.001058,-0.012853,-0.014173,0.013749,0.013722999999999999
P9709,2015-03-27,0.004942,0.005942,0.010364,0.009163,-0.004217,-0.00495
P9709,2015-03-30,0.023941999999999998,0.021942,-0.014247,-0.016142,0.016933,0.017103
P9709,2015-03-31,-0.007058,-0.005058,0.008195000000000001,0.0089,-0.012683,-0.012761
P9709,2015-04-01,0.018941999999999997,0.019941999999999998,0.007812999999999999,0.00839,-0.0060420000000000005,-0.00512
P9709,2015-04-02,0.006942,0.008942,0.020829,0.020159,-0.009592,-0.010831
P9709,2015-04-03,0.011942,0.012941999999999999,0.016592,0.01624,-0.0014990000000000001,-0.000752
P9709,2015-04-07,0.025942000000000003,0.025942000000000003,-0.00055,-0.000642,0.007568999999999999,0.007884
P9709,2015-04-08,0.004942,0.003942,-0.011415999999999999,-0.012247,0.013425,0.014913999999999998
P9709,2015-04-09,-0.009058,-0.008058,-0.00023999999999999998,-0.0008710000000000001,0.000133,-0.0006889999999999999
P9709,2015-04-10,0.021942,0.021942,0.007126,0.006645999999999999,-0.004243,-0.004785
P9709,2015-04-13,0.023941999999999998,0.022941999999999997,0.004706,0.003629,0.009809,0.009781
P9709,2015-04-14,0.000942,0.000942,0.005229,0.003389,-0.002684,-0.002451
P9709,2015-04-15,-0.016058000000000003,-0.020058000000000003,-0.021315,-0.022409000000000002,0.015497,0.013984
P9709,2015-04-16,0.024942,0.023941999999999998,-0.016802,-0.016338,0.002007,0.002543
P9709,2015-04-17,0.017942,0.016942,-0.010323,-0.010697,0.009658,0.009751000000000001
P9709,2015-04-20,-0.019058000000000002,-0.020058000000000003,-0.0033640000000000002,-0.004232,-0.0050030000000000005,-0.004383
P9709,2015-04-21,0.022941999999999997,0.025942000000000003,0.012717000000000001,0.012606000000000001,-0.016426,-0.01685
P9709,2015-04-22,0.025942000000000003,0.026942,0.008108,0.00863,-0.001778,-0.00028
P9709,2015-04-23,0.004942,0.004942,0.008005,0.007744,-0.007123,-0.00646
P9709,2015-04-24,-0.005058,-0.004058,0.009132,0.008504000000000001,-0.012408,-0.010443000000000001
P9709,2015-04-27,0.026942,0.024942,-0.014565,-0.014124000000000001,0.018238,0.016833
P9709,2015-04-28,-0.013058000000000002,-0.015058000000000002,-0.017842,-0.017603999999999998,0.018574,0.019041
P9709,2015-04-29,0.002942,0.005942,0.019818000000000002,0.018312000000000002,-0.023526,-0.024668
P9709,2015-04-30,-0.006058,-0.004058,0.010887,0.010058,-0.009942,-0.011245
P9709,2015-05-04,0.008942,0.007942,0.002863,0.001737,0.0043490000000000004,0.004553
P9709,2015-05-05,-0.040057999999999996,-0.038058,0.008309,0.009719,-0.009694,-0.009709
P9709,2015-05-06,-0.014058000000000001,-0.012058,-0.0057,-0.003865,-0.010172,-0.01122
P9709,2015-05-07,-0.025058,-0.023058000000000002,-0.005065999999999999,-0.003947,-0.010032,-0.009367
P9709,2015-05-08,0.027942,0.030942,0.021823,0.021662999999999998,-0.010844,-0.0123
P9709,2015-05-11,0.034949,0.036949,0.016835,0.015909,-0.008365000000000001,-0.009293000000000001
P9709,2015-05-12,0.015949,0.017949,0.010302,0.010659,-0.009436,-0.007762000000000001
P9709,2015-05-13,-0.0030510000000000003,-0.001051,0.015780000000000002,0.015805,-0.0117,-0.010177
P9709,2015-05-14,-5.1e-05,0.0019489999999999998,0.015988,0.015366999999999999,0.000711,0.000528
P9709,2015-05-15,-0.015050999999999998,-0.013050999999999998,0.010611,0.011236,-0.012947,-0.013255000000000001
