date,MktRet,SMB,HML
2015-01-09,0.022853866006233865,-0.008943127050506108,-0.012207287615247423
2015-01-16,0.030292526246835122,-0.022997182019291573,-0.01553969009851908
2015-01-23,0.0016580666059284642,0.02933250792067052,-0.05888212809288795
2015-01-30,-0.03146239833217212,0.03878486515157287,-0.023968501545225587
2015-02-06,-0.034532160982307165,0.007916063606510024,-0.04331198123761809
2015-02-13,0.04629192096474282,-0.008214820772207435,-0.013702019281247799
2015-02-17,0.017147848448388157,0.006325939338929373,-0.01882911889511714
2015-02-27,0.019438191539133978,0.005097691730030253,0.0007806256054216018
2015-03-06,-0.009792615079650655,0.04568977049542731,-0.04117111393083868
2015-03-13,0.041914473185259475,-0.0032003678500639662,-0.0001740285993718435
2015-03-20,0.07954987353808872,0.005626814208604405,-0.021508890036817316
2015-03-27,0.030749614441754503,0.011923182299126422,-0.026433668801074527
2015-04-03,0.06020092547573313,0.024797648973494943,-0.025778675690493302
2015-04-10,0.04661208102628029,-0.026051644307199057,-0.01900855544900616
2015-04-17,0.0629968828076385,-0.05740760982376302,-0.008487416189702696
2015-04-24,0.0386476879888182,0.013445950028968756,-0.04800438180285223
2015-04-30,0.012651245720244455,-0.00875521495272865,-0.0096741210241676
2015-05-08,-0.04023425942480921,0.003970484370695252,-0.060905310722837155
2015-05-15,0.04182845772907549,0.03880974855582222,-0.0936710334591658
2015-05-22,0.09925523956815716,0.03885214647389833,-0.05065653593820696
2015-05-29,0.001478001361134386,0.028840368807703295,-0.06352604335742645
2015-06-05,0.11210751402467452,0.032465892919914405,-0.0013323707984286698
2015-06-12,0.03927252956168219,0.04010503732708652,-0.001512310718239776
2015-06-19,-0.13087317098681825,-0.009773827620520703,0.00571801001623401
2015-06-26,-0.06796104842835878,-0.033846993527949065,0.017110329806073757
2015-07-03,-0.11846974606031577,-0.1251178140195137,0.03061970146140694
2015-07-10,0.06197474685142921,-0.148432151702832,0.028223303369744386
2015-07-17,0.05417641718630895,0.07617260160515783,-0.08958757807292293
2015-07-24,0.046746293060143364,0.06397457418082607,-0.08919039406442629
2015-07-31,-0.10099981139261417,-0.015819092665468798,-0.015873411666676288
2015-08-07,0.03133841118084549,0.02324542790288149,-0.015216982006851891
2015-08-14,0.09751320563819424,-0.022962909250830485,-0.11875707821992389
2015-08-21,-0.11947947725200808,-0.010464065508257209,0.0013324435981765526
2015-08-28,-0.08757121488090665,-0.030112102896770465,0.007628937191351201
2015-09-02,-0.02588459976313753,-0.13505438941507453,0.057697034877181336
2015-09-11,0.03178312668308262,0.09842300867261199,-0.0593798553940048
2015-09-18,-0.04090949230579753,-0.03634450358074397,0.010378810205643914
2015-09-25,0.0035750453600584733,0.01271304601085295,-0.02471178717160922
2015-09-30,-0.008097860903490298,0.01407810146001076,-0.016792957563774802
2015-10-09,0.05331127782493465,0.011224241212683311,-0.01577823688387576
2015-10-16,0.08154788247277878,0.02953276182824252,-0.04783151891278817
2015-10-23,0.01650266673592716,0.0013313759549760523,-0.03696425927399891
2015-10-30,-0.004714891139976709,0.02027526859835375,-0.01336844965809289
2015-11-06,0.06711725959151915,-0.0002881141365083939,-0.00166090818656775
2015-11-13,0.007048471216630986,0.024357371303678065,-0.06114842434394159
2015-11-20,0.026420087152681043,0.02784453669430707,-0.03304107894433538
2015-11-27,-0.05199643147825626,0.017697243658782932,-0.021448059336171103
2015-12-04,0.03279483428089959,0.008467215801300026,0.011391081945540917
2015-12-11,-0.021991103952314472,-0.002555855256381117,-0.02642808414617987
2015-12-18,0.056297673023731766,0.014112320795467925,-0.03829614315406516
2015-12-25,0.017901017318347985,0.012805724155526709,0.004881232994410709
2015-12-31,-0.021621571555536994,0.0074235162175733515,-0.013555300668679025
2016-01-08,-0.10697955977597906,-0.04311264205718274,0.02985341846864957
2016-01-15,-0.09193523031238325,-0.04073062511919168,0.001232601295355823
2016-01-22,0.01102219187576039,0.02631491507383204,-0.02241474461358049
2016-01-29,-0.06356903393643287,-0.025137954055284017,0.0030821904133905564
2016-02-05,0.01824675880660074,0.0245749529997661,-0.03790378619834382
2016-02-19,0.045438066565625115,0.014269225034759303,-0.03399176032001262
2016-02-26,-0.036636777559907394,-0.02351936673308088,0.020238548575544746
2016-03-04,0.0370031707997697,-0.052466065612007104,0.05132325482094152
2016-03-11,-0.02160018730698099,0.014397521574335204,-0.01177171613642324
2016-03-18,0.0645953199855149,0.02612319875121573,-0.04571410225996839
2016-03-25,0.015467316161412312,0.010662946777696497,-0.029793573331092366
2016-04-01,0.012535012565922423,0.006242719891083971,-0.0005800297145656264
2016-04-08,-0.0034233169754435615,0.01586259406836714,-0.022157201552590242
2016-04-15,0.035429805047659954,0.020116990384939713,-0.008952176072590488
2016-04-22,-0.040908503249324296,-0.016568791551946446,0.011970180558222944
2016-04-29,-0.0031593789799222276,0.00801627041255299,-0.008461043533926689
2016-05-06,-0.006577729739109693,-0.005926352808734025,-0.010721153154551551
2016-05-13,-0.03157173941748796,-0.04793083265730333,0.010394625660493567
2016-05-20,0.0022798805030130086,-0.007406605031910036,-0.011779100417810202
2016-05-27,0.0015281734594553974,0.011845001655776226,-0.011596886593505475
2016-06-03,0.04877578500862037,0.007145948562777116,-0.033368391975488576
2016-06-08,0.0002223905909508998,0.007604717533999128,-0.01297630648313354
2016-06-17,-0.009280887662896638,-0.0014149436238365884,-0.008030209556513424
2016-06-24,-0.0058262888355220315,-0.0021738844488416835,-0.0072740583127579965
2016-07-01,0.032005133081844855,0.007427878871116164,-0.01750383988417764
