stret,date,cols
-0.005459111362052049,2015-01-05,ret_S1BM1
0.034550894369695904,2015-01-06,ret_S1BM1
-0.005380482578776403,2015-01-07,ret_S1BM1
0.007056666115338181,2015-01-08,ret_S1BM1
-0.008085232124305319,2015-01-09,ret_S1BM1
-0.007752746304182631,2015-01-12,ret_S1BM1
0.02276359952653287,2015-01-13,ret_S1BM1
-0.005155228878943882,2015-01-14,ret_S1BM1
0.0006957711708175187,2015-01-15,ret_S1BM1
0.020475831944349068,2015-01-16,ret_S1BM1
-0.006516536409456877,2015-01-19,ret_S1BM1
0.05023416074456316,2015-01-20,ret_S1BM1
0.022363229571259944,2015-01-21,ret_S1BM1
0.02518571067682935,2015-01-22,ret_S1BM1
-0.012888465220301295,2015-01-23,ret_S1BM1
0.020203532291635545,2015-01-26,ret_S1BM1
0.009757326833564306,2015-01-27,ret_S1BM1
0.003705539952140037,2015-01-28,ret_S1BM1
-0.004437335294687512,2015-01-29,ret_S1BM1
-0.01162811524062092,2015-01-30,ret_S1BM1
0.005228987257704284,2015-02-02,ret_S1BM1
0.02532398788696074,2015-02-03,ret_S1BM1
0.009209602591553193,2015-02-04,ret_S1BM1
0.006485983638922253,2015-02-05,ret_S1BM1
-0.02507491036216409,2015-02-06,ret_S1BM1
-0.012343756878964579,2015-02-09,ret_S1BM1
0.011339919736915359,2015-02-10,ret_S1BM1
0.01840060914526589,2015-02-11,ret_S1BM1
0.016935120437892772,2015-02-12,ret_S1BM1
0.01895149916724784,2015-02-13,ret_S1BM1
0.02140732700561363,2015-02-16,ret_S1BM1
0.00263123896414141,2015-02-17,ret_S1BM1
-0.00818656975621907,2015-02-25,ret_S1BM1
0.005519624507371877,2015-02-26,ret_S1BM1
0.016523908749522413,2015-02-27,ret_S1BM1
0.0230080618512564,2015-03-02,ret_S1BM1
-0.006200411449639353,2015-03-03,ret_S1BM1
0.023549262478406156,2015-03-04,ret_S1BM1
0.005165410334079878,2015-03-05,ret_S1BM1
-0.006510425942010257,2015-03-06,ret_S1BM1
0.01697578463862396,2015-03-09,ret_S1BM1
0.014898605073038022,2015-03-10,ret_S1BM1
0.010410829752410086,2015-03-11,ret_S1BM1
-0.006038047207337725,2015-03-12,ret_S1BM1
0.02583095810468464,2015-03-13,ret_S1BM1
0.033570184892085166,2015-03-16,ret_S1BM1
0.014467463416754112,2015-03-17,ret_S1BM1
0.019175422472719854,2015-03-18,ret_S1BM1
0.010475569411718724,2015-03-19,ret_S1BM1
0.017457666147322592,2015-03-20,ret_S1BM1
0.032465422456438166,2015-03-23,ret_S1BM1
0.018600040795182297,2015-03-24,ret_S1BM1
0.026100880813192544,2015-03-25,ret_S1BM1
-0.023220214363926156,2015-03-26,ret_S1BM1
0.008654698696663413,2015-03-27,ret_S1BM1
-0.004046650135433737,2015-03-30,ret_S1BM1
0.010861210256377428,2015-03-31,ret_S1BM1
0.03226383418599225,2015-04-01,ret_S1BM1
0.03231474288268961,2015-04-02,ret_S1BM1
0.02918875328640848,2015-04-03,ret_S1BM1
0.030430892696820575,2015-04-07,ret_S1BM1
-0.006107435023913024,2015-04-08,ret_S1BM1
-0.003949063052081612,2015-04-09,ret_S1BM1
0.020936208013510312,2015-04-10,ret_S1BM1
0.03121808381527097,2015-04-13,ret_S1BM1
-0.0005279688790126182,2015-04-14,ret_S1BM1
-0.043344216917432614,2015-04-15,ret_S1BM1
0.00807167048609133,2015-04-16,ret_S1BM1
0.0022030171240615347,2015-04-17,ret_S1BM1
-0.020110007761025502,2015-04-20,ret_S1BM1
0.04422819128768362,2015-04-21,ret_S1BM1
0.035740616545773936,2015-04-22,ret_S1BM1
0.02601801656938469,2015-04-23,ret_S1BM1
0.015628495890164986,2015-04-24,ret_S1BM1
-0.0014319360426217804,2015-04-27,ret_S1BM1
-0.038460889798300764,2015-04-28,ret_S1BM1
0.035466279214577304,2015-04-29,ret_S1BM1
0.004515473028631586,2015-04-30,ret_S1BM1
0.0164047376693321,2015-05-04,ret_S1BM1
-0.012362430032234426,2015-05-05,ret_S1BM1
0.0035992899492032866,2015-05-06,ret_S1BM1
-0.01658944243746854,2015-05-07,ret_S1BM1
0.06433009792079948,2015-05-08,ret_S1BM1
0.06219799191466381,2015-05-11,ret_S1BM1
0.03152648758865958,2015-05-12,ret_S1BM1
0.019468900910728275,2015-05-13,ret_S1BM1
0.02785139205588415,2015-05-14,ret_S1BM1
0.015381848206630331,2015-05-15,ret_S1BM1
0.06025083393962611,2015-05-18,ret_S1BM1
0.03602748596362347,2015-05-19,ret_S1BM1
0.03489089758522758,2015-05-20,ret_S1BM1
0.05035401094177108,2015-05-21,ret_S1BM1
0.02834607145602748,2015-05-22,ret_S1BM1
0.03985354480499383,2015-05-25,ret_S1BM1
0.06483377783590938,2015-05-26,ret_S1BM1
0.05363116887927678,2015-05-27,ret_S1BM1
-0.05000014011993313,2015-05-28,ret_S1BM1
0.014724963603531585,2015-05-29,ret_S1BM1
0.02528684504888671,2015-06-01,ret_S1BM1
0.03550548835988554,2015-06-02,ret_S1BM1
0.008846622418686832,2015-06-03,ret_S1BM1
-0.026063257955626102,2015-06-04,ret_S1BM1
0.008261529707942894,2015-06-05,ret_S1BM1
-0.032236406683961036,2015-06-08,ret_S1BM1
0.0011488679024663935,2015-06-09,ret_S1BM1
0.04073479955334627,2015-06-10,ret_S1BM1
0.03285645733816089,2015-06-11,ret_S1BM1
0.01695029461954596,2015-06-12,ret_S1BM1
-0.036519329618266566,2015-06-15,ret_S1BM1
-0.048252459511435634,2015-06-16,ret_S1BM1
0.0297055946085799,2015-06-17,ret_S1BM1
-0.04573523094415458,2015-06-18,ret_S1BM1
-0.060443467976824636,2015-06-19,ret_S1BM1
0.02479096815715597,2015-06-23,ret_S1BM1
0.019376936579379046,2015-06-24,ret_S1BM1
-0.04747942527853377,2015-06-25,ret_S1BM1
-0.09221829407124754,2015-06-26,ret_S1BM1
-0.07953950558634011,2015-06-29,ret_S1BM1
0.03957410540499842,2015-06-30,ret_S1BM1
-0.06451919103926346,2015-07-01,ret_S1BM1
-0.08022527522935853,2015-07-02,ret_S1BM1
-0.0697588485944639,2015-07-03,ret_S1BM1
-0.05994141821538398,2015-07-06,ret_S1BM1
-0.09183354720327673,2015-07-07,ret_S1BM1
-0.07944866178502591,2015-07-08,ret_S1BM1
0.10000279839141953,2015-07-09,ret_S1BM1
0.09999095929882082,2015-07-10,ret_S1BM1
0.09818017674842558,2015-07-13,ret_S1BM1
0.06680503711136458,2015-07-14,ret_S1BM1
-0.059539556360462424,2015-07-15,ret_S1BM1
0.016517053767175032,2015-07-16,ret_S1BM1
0.07566314803323684,2015-07-17,ret_S1BM1
0.02119410360786359,2015-07-20,ret_S1BM1
0.03653961242631167,2015-07-21,ret_S1BM1
0.030458459189933163,2015-07-22,ret_S1BM1
0.06606933779760682,2015-07-23,ret_S1BM1
0.0006127664391903126,2015-07-24,ret_S1BM1
-0.08294411378506737,2015-07-27,ret_S1BM1
-0.03963865107135794,2015-07-28,ret_S1BM1
0.0653746443867248,2015-07-29,ret_S1BM1
